"migratieachtergrond","perioden","totaal"
"Ivoorkust","1997",300
"Ivoorkust","1998",325
"Ivoorkust","1999",372
"Ivoorkust","2000",417
"Ivoorkust","2001",453
"Ivoorkust","2002",552
"Ivoorkust","2003",679
"Ivoorkust","2004",813
"Ivoorkust","2005",975
"Ivoorkust","2006",1030
"Ivoorkust","2007",1149
"Ivoorkust","2008",1263
"Ivoorkust","2009",1381
"Ivoorkust","2010",1512
"Ivoorkust","2011",1658
"Ivoorkust","2012",1791
"Ivoorkust","2013",1848
"Ivoorkust","2014",1832
"Ivoorkust","2015",1852
"Ivoorkust","2016",1843
"Ivoorkust","2017",1817
"Kaapverdië","1997",17017
"Kaapverdië","1998",17478
"Kaapverdië","1999",17925
"Kaapverdië","2000",18242
"Kaapverdië","2001",18558
"Kaapverdië","2002",19012
"Kaapverdië","2003",19353
"Kaapverdië","2004",19666
"Kaapverdië","2005",19966
"Kaapverdië","2006",20103
"Kaapverdië","2007",20181
"Kaapverdië","2008",20364
"Kaapverdië","2009",20669
"Kaapverdië","2010",21006
"Kaapverdië","2011",21218
"Kaapverdië","2012",21494
"Kaapverdië","2013",21550
"Kaapverdië","2014",21714
"Kaapverdië","2015",21933
"Kaapverdië","2016",22157
"Kaapverdië","2017",22285
"Kameroen","1997",622
"Kameroen","1998",707
"Kameroen","1999",814
"Kameroen","2000",934
"Kameroen","2001",1091
"Kameroen","2002",1436
"Kameroen","2003",1827
"Kameroen","2004",2017
"Kameroen","2005",2125
"Kameroen","2006",2156
"Kameroen","2007",2212
"Kameroen","2008",2277
"Kameroen","2009",2408
"Kameroen","2010",2550
"Kameroen","2011",2674
"Kameroen","2012",2725
"Kameroen","2013",2819
"Kameroen","2014",2835
"Kameroen","2015",2872
"Kameroen","2016",2946
"Kameroen","2017",2995
"Kenia","1997",1423
"Kenia","1998",1572
"Kenia","1999",1702
"Kenia","2000",1815
"Kenia","2001",1962
"Kenia","2002",2059
"Kenia","2003",2207
"Kenia","2004",2350
"Kenia","2005",2434
"Kenia","2006",2561
"Kenia","2007",2712
"Kenia","2008",2758
"Kenia","2009",2963
"Kenia","2010",3191
"Kenia","2011",3328
"Kenia","2012",3508
"Kenia","2013",3659
"Kenia","2014",3813
"Kenia","2015",4007
"Kenia","2016",4165
"Kenia","2017",4345
"Liberia","1997",1681
"Liberia","1998",2025
"Liberia","1999",2191
"Liberia","2000",2295
"Liberia","2001",2452
"Liberia","2002",2640
"Liberia","2003",2819
"Liberia","2004",2995
"Liberia","2005",3133
"Liberia","2006",3165
"Liberia","2007",3055
"Liberia","2008",3049
"Liberia","2009",3063
"Liberia","2010",3111
"Liberia","2011",3128
"Liberia","2012",3104
"Liberia","2013",3092
"Liberia","2014",3086
"Liberia","2015",3049
"Liberia","2016",3012
"Liberia","2017",2993
"Libië","1997",406
"Libië","1998",448
"Libië","1999",470
"Libië","2000",509
"Libië","2001",552
"Libië","2002",629
"Libië","2003",687
"Libië","2004",749
"Libië","2005",784
"Libië","2006",800
"Libië","2007",792
"Libië","2008",830
"Libië","2009",873
"Libië","2010",981
"Libië","2011",1096
"Libië","2012",1215
"Libië","2013",1205
"Libië","2014",1246
"Libië","2015",1458
"Libië","2016",1963
"Libië","2017",2148
"Nigeria","1997",3558
"Nigeria","1998",4055
"Nigeria","1999",4632
"Nigeria","2000",5180
"Nigeria","2001",5696
"Nigeria","2002",6183
"Nigeria","2003",6712
"Nigeria","2004",7298
"Nigeria","2005",7615
"Nigeria","2006",8037
"Nigeria","2007",8393
"Nigeria","2008",8788
"Nigeria","2009",9453
"Nigeria","2010",10137
"Nigeria","2011",10676
"Nigeria","2012",11196
"Nigeria","2013",11466
"Nigeria","2014",11766
"Nigeria","2015",12036
"Nigeria","2016",12252
"Nigeria","2017",12350
"Rwanda","1997",190
"Rwanda","1998",283
"Rwanda","1999",404
"Rwanda","2000",611
"Rwanda","2001",901
"Rwanda","2002",1145
"Rwanda","2003",1311
"Rwanda","2004",1388
"Rwanda","2005",1402
"Rwanda","2006",1398
"Rwanda","2007",1391
"Rwanda","2008",1380
"Rwanda","2009",1409
"Rwanda","2010",1448
"Rwanda","2011",1486
"Rwanda","2012",1483
"Rwanda","2013",1525
"Rwanda","2014",1547
"Rwanda","2015",1588
"Rwanda","2016",1596
"Rwanda","2017",1575
"Senegal","1997",693
"Senegal","1998",746
"Senegal","1999",813
"Senegal","2000",877
"Senegal","2001",940
"Senegal","2002",1051
"Senegal","2003",1131
"Senegal","2004",1207
"Senegal","2005",1330
"Senegal","2006",1395
"Senegal","2007",1418
"Senegal","2008",1468
"Senegal","2009",1498
"Senegal","2010",1568
"Senegal","2011",1613
"Senegal","2012",1660
"Senegal","2013",1721
"Senegal","2014",1765
"Senegal","2015",1770
"Senegal","2016",1831
"Senegal","2017",1878
"Sierra Leone","1997",537
"Sierra Leone","1998",722
"Sierra Leone","1999",978
"Sierra Leone","2000",1432
"Sierra Leone","2001",2284
"Sierra Leone","2002",3945
"Sierra Leone","2003",6031
"Sierra Leone","2004",6540
"Sierra Leone","2005",6507
"Sierra Leone","2006",6177
"Sierra Leone","2007",5978
"Sierra Leone","2008",5916
"Sierra Leone","2009",6008
"Sierra Leone","2010",5998
"Sierra Leone","2011",6030
"Sierra Leone","2012",5971
"Sierra Leone","2013",6008
"Sierra Leone","2014",5977
"Sierra Leone","2015",5905
"Sierra Leone","2016",5776
"Sierra Leone","2017",5661
"Soedan","1997",1229
"Soedan","1998",1936
"Soedan","1999",3023
"Soedan","2000",3919
"Soedan","2001",5497
"Soedan","2002",6935
"Soedan","2003",7629
"Soedan","2004",7626
"Soedan","2005",7285
"Soedan","2006",6913
"Soedan","2007",6623
"Soedan","2008",6464
"Soedan","2009",6398
"Soedan","2010",6329
"Soedan","2011",6208
"Soedan","2012",6342
"Soedan","2013",6268
"Soedan","2014",6317
"Soedan","2015",6448
"Soedan","2016",6711
"Soedan","2017",7199
"Somalië","1997",23864
"Somalië","1998",25842
"Somalië","1999",27421
"Somalië","2000",28780
"Somalië","2001",29631
"Somalië","2002",28979
"Somalië","2003",27567
"Somalië","2004",25001
"Somalië","2005",21733
"Somalië","2006",19893
"Somalië","2007",18918
"Somalië","2008",19549
"Somalië","2009",21798
"Somalië","2010",27011
"Somalië","2011",31237
"Somalië","2012",33750
"Somalië","2013",34631
"Somalië","2014",37432
"Somalië","2015",39131
"Somalië","2016",39465
"Somalië","2017",39457
"Tanzania","1997",944
"Tanzania","1998",1039
"Tanzania","1999",1091
"Tanzania","2000",1141
"Tanzania","2001",1260
"Tanzania","2002",1305
"Tanzania","2003",1389
"Tanzania","2004",1473
"Tanzania","2005",1549
"Tanzania","2006",1633
"Tanzania","2007",1729
"Tanzania","2008",1827
"Tanzania","2009",1929
"Tanzania","2010",2030
"Tanzania","2011",2034
"Tanzania","2012",2060
"Tanzania","2013",2128
"Tanzania","2014",2107
"Tanzania","2015",2171
"Tanzania","2016",2223
"Tanzania","2017",2205
"Togo","1997",446
"Togo","1998",521
"Togo","1999",623
"Togo","2000",745
"Togo","2001",883
"Togo","2002",1153
"Togo","2003",1450
"Togo","2004",1592
"Togo","2005",1636
"Togo","2006",1593
"Togo","2007",1555
"Togo","2008",1543
"Togo","2009",1654
"Togo","2010",1723
"Togo","2011",1762
"Togo","2012",1808
"Togo","2013",1835
"Togo","2014",1847
"Togo","2015",1863
"Togo","2016",1884
"Togo","2017",1887
"Tunesië","1997",5901
"Tunesië","1998",6141
"Tunesië","1999",6388
"Tunesië","2000",6596
"Tunesië","2001",6908
"Tunesië","2002",7204
"Tunesië","2003",7437
"Tunesië","2004",7680
"Tunesië","2005",7876
"Tunesië","2006",8031
"Tunesië","2007",8129
"Tunesië","2008",8222
"Tunesië","2009",8397
"Tunesië","2010",8552
"Tunesië","2011",8690
"Tunesië","2012",8776
"Tunesië","2013",8957
"Tunesië","2014",9103
"Tunesië","2015",9243
"Tunesië","2016",9415
"Tunesië","2017",9617
"Uganda","1997",675
"Uganda","1998",715
"Uganda","1999",752
"Uganda","2000",805
"Uganda","2001",852
"Uganda","2002",903
"Uganda","2003",981
"Uganda","2004",1059
"Uganda","2005",1122
"Uganda","2006",1236
"Uganda","2007",1317
"Uganda","2008",1307
"Uganda","2009",1423
"Uganda","2010",1546
"Uganda","2011",1624
"Uganda","2012",1677
"Uganda","2013",1794
"Uganda","2014",1974
"Uganda","2015",2171
"Uganda","2016",2358
"Uganda","2017",2553
"Zambia","1997",611
"Zambia","1998",655
"Zambia","1999",678
"Zambia","2000",725
"Zambia","2001",799
"Zambia","2002",801
"Zambia","2003",888
"Zambia","2004",956
"Zambia","2005",984
"Zambia","2006",1012
"Zambia","2007",1090
"Zambia","2008",1079
"Zambia","2009",1135
"Zambia","2010",1169
"Zambia","2011",1236
"Zambia","2012",1285
"Zambia","2013",1346
"Zambia","2014",1382
"Zambia","2015",1422
"Zambia","2016",1446
"Zambia","2017",1489
"Zimbabwe","1997",934
"Zimbabwe","1998",1014
"Zimbabwe","1999",1074
"Zimbabwe","2000",1144
"Zimbabwe","2001",1221
"Zimbabwe","2002",1317
"Zimbabwe","2003",1356
"Zimbabwe","2004",1441
"Zimbabwe","2005",1468
"Zimbabwe","2006",1507
"Zimbabwe","2007",1527
"Zimbabwe","2008",1590
"Zimbabwe","2009",1717
"Zimbabwe","2010",1845
"Zimbabwe","2011",1891
"Zimbabwe","2012",1923
"Zimbabwe","2013",1935
"Zimbabwe","2014",1942
"Zimbabwe","2015",1952
"Zimbabwe","2016",1999
"Zimbabwe","2017",2042
"Zuid-Afrika","1997",10118
"Zuid-Afrika","1998",10737
"Zuid-Afrika","1999",11784
"Zuid-Afrika","2000",12524
"Zuid-Afrika","2001",13459
"Zuid-Afrika","2002",14378
"Zuid-Afrika","2003",14914
"Zuid-Afrika","2004",15164
"Zuid-Afrika","2005",15370
"Zuid-Afrika","2006",15487
"Zuid-Afrika","2007",15718
"Zuid-Afrika","2008",16073
"Zuid-Afrika","2009",16739
"Zuid-Afrika","2010",17214
"Zuid-Afrika","2011",17527
"Zuid-Afrika","2012",17896
"Zuid-Afrika","2013",18224
"Zuid-Afrika","2014",18586
"Zuid-Afrika","2015",19152
"Zuid-Afrika","2016",19877
"Zuid-Afrika","2017",20859
